"","ReceiptID","Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8"
"1","1","Lemon Cake","Lemon Tart","","","","","",""
"2","2","Truffle Cake","Apricot Danish","Orange Juice","Bottled Water","","","",""
"3","3","Almond Tart","Chocolate Tart","Vanilla Meringue","Marzipan Cookie","Tuile Cookie","Apple Croissant","Apricot Croissant",""
"4","4","Casino Cake","Truffle Cake","Cherry Tart","Gongolais Cookie","Marzipan Cookie","Chocolate Coffee","",""
"5","5","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea","","",""
"6","6","Strawberry Cake","Napoleon Cake","Bottled Water","","","","",""
"7","7","Apricot Tart","Chocolate Tart","Bottled Water","Vanilla Frappuccino","","","",""
"8","8","Strawberry Cake","Hot Coffee","","","","","",""
"9","9","Truffle Cake","Blackberry Tart","Gongolais Cookie","","","","",""
"10","10","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino","","","","",""
"11","11","Napoleon Cake","Marzipan Cookie","Almond Twist","Cherry Soda","","","",""
"12","12","Lemon Cake","Chocolate Tart","Apricot Danish","Chocolate Coffee","","","",""
"13","13","Strawberry Cake","Gongolais Cookie","Chocolate Meringue","","","","",""
"14","14","Chocolate Tart","Cherry Tart","Tuile Cookie","Vanilla Frappuccino","","","",""
"15","15","Apple Tart","Marzipan Cookie","Tuile Cookie","","","","",""
"16","16","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"17","17","Coffee Eclair","Apple Pie","Chocolate Tart","Lemon Lemonade","","","",""
"18","18","Blackberry Tart","Blueberry Danish","","","","","",""
"19","19","Single Espresso","","","","","","",""
"20","20","Pecan Tart","Ganache Cookie","Apricot Danish","Apple Danish","","","",""
"21","21","Chocolate Eclair","Napoleon Cake","Apricot Tart","Apricot Danish","Green Tea","","",""
"22","22","Chocolate Cake","Casino Cake","Apricot Croissant","Chocolate Coffee","","","",""
"23","23","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"24","24","Marzipan Cookie","Almond Croissant","Chocolate Coffee","","","","",""
"25","25","Chocolate Tart","Vanilla Frappuccino","","","","","",""
"26","26","Apricot Danish","Almond Bear Claw","","","","","",""
"27","27","Truffle Cake","Gongolais Cookie","Chocolate Coffee","","","","",""
"28","28","Chocolate Cake","Vanilla Eclair","Orange Juice","","","","",""
"29","29","Chocolate Cake","Strawberry Cake","Chocolate Coffee","","","","",""
"30","30","Strawberry Cake","Blueberry Tart","Single Espresso","","","","",""
"31","31","Strawberry Cake","Apple Pie","Apple Danish","","","","",""
"32","32","Chocolate Cake","Gongolais Cookie","Almond Twist","","","","",""
"33","33","Pecan Tart","Marzipan Cookie","Tuile Cookie","","","","",""
"34","34","Cheese Croissant","Apricot Danish","Orange Juice","Green Tea","","","",""
"35","35","Marzipan Cookie","Tuile Cookie","Blueberry Danish","Raspberry Lemonade","","","",""
"36","36","Cherry Tart","Apricot Danish","","","","","",""
"37","37","Apple Croissant","Bottled Water","Single Espresso","","","","",""
"38","38","Casino Cake","Vanilla Eclair","Apple Tart","","","","",""
"39","39","Apple Tart","Cheese Croissant","Orange Juice","","","","",""
"40","40","Lemon Cookie","Marzipan Cookie","Tuile Cookie","Bottled Water","","","",""
"41","41","Strawberry Cake","Berry Tart","Tuile Cookie","Raspberry Lemonade","Orange Juice","","",""
"42","42","Coffee Eclair","Blackberry Tart","Cheese Croissant","Lemon Lemonade","Single Espresso","","",""
"43","43","Blueberry Tart","Raspberry Cookie","Apricot Croissant","Hot Coffee","","","",""
"44","44","Blueberry Tart","Lemon Tart","Walnut Cookie","","","","",""
"45","45","Almond Tart","Marzipan Cookie","Tuile Cookie","","","","",""
"46","46","Truffle Cake","Gongolais Cookie","Lemon Cookie","","","","",""
"47","47","Apple Tart","Ganache Cookie","Chocolate Meringue","Blueberry Danish","","","",""
"48","48","Strawberry Cake","Napoleon Cake","Chocolate Coffee","","","","",""
"49","49","Casino Cake","Apple Pie","Marzipan Cookie","Hot Coffee","","","",""
"50","50","Chocolate Tart","Raspberry Cookie","Walnut Cookie","Orange Juice","","","",""
"51","51","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","","","",""
"52","52","Berry Tart","Bottled Water","","","","","",""
"53","53","Napoleon Cake","Lemon Tart","Almond Croissant","Cheese Croissant","Orange Juice","","",""
"54","54","Apricot Tart","Blueberry Tart","Ganache Cookie","Apricot Croissant","Blueberry Danish","","",""
"55","55","Coffee Eclair","Apple Pie","Almond Twist","Bottled Water","Hot Coffee","","",""
"56","56","Apple Pie","Chocolate Tart","Walnut Cookie","Hot Coffee","Vanilla Frappuccino","","",""
"57","57","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","","","",""
"58","58","Strawberry Cake","Berry Tart","Marzipan Cookie","Almond Croissant","Green Tea","Bottled Water","Single Espresso",""
"59","59","Opera Cake","Chocolate Eclair","Almond Tart","Chocolate Tart","Walnut Cookie","Almond Twist","Blueberry Danish",""
"60","60","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"61","61","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"62","62","Lemon Cake","Lemon Tart","Vanilla Meringue","Marzipan Cookie","","","",""
"63","63","Truffle Cake","Cherry Tart","Marzipan Cookie","","","","",""
"64","64","Chocolate Cake","Berry Tart","Orange Juice","","","","",""
"65","65","Lemon Cake","Apple Croissant","Apricot Danish","","","","",""
"66","66","Chocolate Coffee","","","","","","",""
"67","67","Coffee Eclair","Apple Pie","Almond Twist","","","","",""
"68","68","Opera Cake","Coffee Eclair","Ganache Cookie","","","","",""
"69","69","Chocolate Cake","Cheese Croissant","Orange Juice","","","","",""
"70","70","Apple Tart","Apple Croissant","Apple Danish","","","","",""
"71","71","Chocolate Cake","Chocolate Tart","Lemon Cookie","","","","",""
"72","72","Truffle Cake","Berry Tart","Walnut Cookie","Bottled Water","","","",""
"73","73","Lemon Cake","Blackberry Tart","Lemon Tart","","","","",""
"74","74","Almond Tart","Blackberry Tart","Cherry Tart","Apricot Danish","Single Espresso","","",""
"75","75","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"76","76","Casino Cake","Blackberry Tart","Blueberry Tart","Cherry Tart","Apple Croissant","Apricot Croissant","Orange Juice","Hot Coffee"
"77","77","Strawberry Cake","Napoleon Cake","","","","","",""
"78","78","Strawberry Cake","Gongolais Cookie","Walnut Cookie","Apple Danish","","","",""
"79","79","Strawberry Cake","Napoleon Cake","","","","","",""
"80","80","Tuile Cookie","Orange Juice","Single Espresso","","","","",""
"81","81","Berry Tart","Blueberry Tart","Cherry Tart","","","","",""
"82","82","Ganache Cookie","Marzipan Cookie","Tuile Cookie","Apple Croissant","","","",""
"83","83","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"84","84","Strawberry Cake","Single Espresso","","","","","",""
"85","85","Lemon Cake","Vanilla Eclair","Blackberry Tart","Raspberry Lemonade","","","",""
"86","86","Truffle Cake","Blueberry Tart","Chocolate Tart","","","","",""
"87","87","Strawberry Cake","Apricot Tart","Marzipan Cookie","Tuile Cookie","","","",""
"88","88","Truffle Cake","Gongolais Cookie","Almond Croissant","","","","",""
"89","89","Coffee Eclair","Blackberry Tart","Single Espresso","","","","",""
"90","90","Blueberry Tart","Raspberry Cookie","Marzipan Cookie","Apricot Croissant","Blueberry Danish","Hot Coffee","Vanilla Frappuccino",""
"91","91","Napoleon Cake","Lemon Tart","Almond Croissant","","","","",""
"92","92","Marzipan Cookie","Tuile Cookie","","","","","",""
"93","93","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","","","",""
"94","94","Chocolate Tart","Tuile Cookie","Almond Croissant","Apple Croissant","Raspberry Lemonade","Vanilla Frappuccino","",""
"95","95","Chocolate Cake","Apricot Tart","Gongolais Cookie","Walnut Cookie","","","",""
"96","96","Truffle Cake","Apple Tart","Gongolais Cookie","","","","",""
"97","97","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","","","",""
"98","98","Casino Cake","Strawberry Cake","Napoleon Cake","","","","",""
"99","99","Opera Cake","Cherry Tart","Apricot Danish","Bottled Water","","","",""
"100","100","Strawberry Cake","Cherry Tart","Blueberry Danish","","","","",""
"101","101","Coffee Eclair","Blackberry Tart","Almond Croissant","Single Espresso","","","",""
"102","102","Napoleon Cake","","","","","","",""
"103","103","Strawberry Cake","","","","","","",""
"104","104","Cherry Tart","Gongolais Cookie","Bottled Water","","","","",""
"105","105","Coffee Eclair","Apple Pie","Almond Twist","","","","",""
"106","106","Strawberry Cake","Napoleon Cake","","","","","",""
"107","107","Opera Cake","Truffle Cake","Ganache Cookie","Lemon Lemonade","Bottled Water","Cherry Soda","",""
"108","108","Coffee Eclair","Cheese Croissant","Orange Juice","","","","",""
"109","109","Blueberry Tart","Apricot Croissant","Hot Coffee","","","","",""
"110","110","Apple Tart","Apricot Croissant","Orange Juice","","","","",""
"111","111","Raspberry Cookie","Chocolate Croissant","Blueberry Danish","","","","",""
"112","112","Vanilla Eclair","Raspberry Cookie","Apple Croissant","","","","",""
"113","113","Chocolate Cake","Apple Pie","Berry Tart","Lemon Tart","Walnut Cookie","Raspberry Lemonade","",""
"114","114","Blackberry Tart","Blueberry Danish","","","","","",""
"115","115","Blueberry Tart","Lemon Cookie","Apricot Croissant","Cheese Croissant","Hot Coffee","","",""
"116","116","Chocolate Cake","Blackberry Tart","Ganache Cookie","Almond Croissant","Chocolate Coffee","","",""
"117","117","Chocolate Eclair","Apple Pie","","","","","",""
"118","118","Chocolate Eclair","Vanilla Meringue","Green Tea","","","","",""
"119","119","Strawberry Cake","Apple Tart","Marzipan Cookie","Tuile Cookie","","","",""
"120","120","Apple Croissant","Apricot Croissant","Raspberry Lemonade","","","","",""
"121","121","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","","","",""
"122","122","Strawberry Cake","Apple Croissant","Blueberry Danish","Hot Coffee","","","",""
"123","123","Blueberry Tart","Pecan Tart","Apple Danish","Almond Twist","","","",""
"124","124","Chocolate Cake","Lemon Cake","Lemon Cookie","Apple Croissant","Chocolate Croissant","Chocolate Coffee","",""
"125","125","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino","","","","",""
"126","126","Raspberry Cookie","Chocolate Coffee","Single Espresso","","","","",""
"127","127","Coffee Eclair","Blackberry Tart","Single Espresso","","","","",""
"128","128","Coffee Eclair","Blackberry Tart","Single Espresso","","","","",""
"129","129","Almond Bear Claw","","","","","","",""
"130","130","Strawberry Cake","Napoleon Cake","Green Tea","","","","",""
"131","131","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino","","","","",""
"132","132","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda","","","",""
"133","133","Marzipan Cookie","Chocolate Croissant","Chocolate Coffee","","","","",""
"134","134","Cheese Croissant","Orange Juice","","","","","",""
"135","135","Cheese Croissant","Orange Juice","Hot Coffee","","","","",""
"136","136","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","","","",""
"137","137","Blueberry Tart","Apricot Croissant","","","","","",""
"138","138","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","","","",""
"139","139","Truffle Cake","Gongolais Cookie","Almond Twist","Vanilla Frappuccino","","","",""
"140","140","Blueberry Tart","Apricot Croissant","Raspberry Lemonade","Cherry Soda","","","",""
"141","141","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea","","",""
"142","142","Chocolate Eclair","Gongolais Cookie","","","","","",""
"143","143","Chocolate Eclair","Blueberry Tart","Tuile Cookie","Apricot Croissant","","","",""
"144","144","Apple Danish","Orange Juice","Cherry Soda","Single Espresso","","","",""
"145","145","Casino Cake","Chocolate Meringue","Blueberry Danish","","","","",""
"146","146","Apricot Danish","Blueberry Danish","Green Tea","Chocolate Coffee","","","",""
"147","147","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea","","",""
"148","148","Berry Tart","","","","","","",""
"149","149","Lemon Cake","Strawberry Cake","Napoleon Cake","Blackberry Tart","Pecan Tart","","",""
"150","150","Chocolate Cake","Casino Cake","Chocolate Coffee","","","","",""
"151","151","Apple Tart","Ganache Cookie","Chocolate Meringue","Vanilla Meringue","","","",""
"152","152","Walnut Cookie","","","","","","",""
"153","153","Casino Cake","Opera Cake","Apple Pie","Lemon Tart","Raspberry Lemonade","Hot Coffee","Vanilla Frappuccino",""
"154","154","Cherry Tart","Lemon Tart","Tuile Cookie","Cherry Soda","","","",""
"155","155","Berry Tart","Chocolate Meringue","","","","","",""
"156","156","Opera Cake","Apple Tart","Cherry Tart","Apple Croissant","Chocolate Croissant","Apricot Danish","",""
"157","157","Opera Cake","Vanilla Meringue","Apricot Croissant","Cheese Croissant","","","",""
"158","158","Casino Cake","Truffle Cake","Chocolate Meringue","Apricot Croissant","","","",""
"159","159","Lemon Cake","Vanilla Eclair","Berry Tart","Walnut Cookie","Apricot Danish","Blueberry Danish","Single Espresso",""
"160","160","Truffle Cake","Gongolais Cookie","Lemon Cookie","","","","",""
"161","161","Opera Cake","Truffle Cake","Apple Tart","Blackberry Tart","Chocolate Tart","Pecan Tart","Ganache Cookie",""
"162","162","Strawberry Cake","Walnut Cookie","Green Tea","","","","",""
"163","163","Vanilla Eclair","Chocolate Tart","Gongolais Cookie","Raspberry Cookie","Lemon Cookie","","",""
"164","164","Ganache Cookie","Apricot Danish","","","","","",""
"165","165","Opera Cake","Almond Tart","Lemon Cookie","Almond Croissant","Lemon Lemonade","","",""
"166","166","Opera Cake","Apricot Tart","Gongolais Cookie","Marzipan Cookie","Tuile Cookie","Apricot Danish","Almond Bear Claw","Blueberry Danish"
"167","167","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","","","",""
"168","168","Chocolate Tart","Walnut Cookie","Almond Twist","Vanilla Frappuccino","","","",""
"169","169","Truffle Cake","Gongolais Cookie","Single Espresso","","","","",""
"170","170","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","","","",""
"171","171","Opera Cake","Cherry Tart","Apricot Danish","Almond Bear Claw","","","",""
"172","172","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea","","",""
"173","173","Casino Cake","Chocolate Eclair","Apple Pie","Lemon Cookie","Bottled Water","","",""
"174","174","Chocolate Eclair","Cherry Soda","","","","","",""
"175","175","Casino Cake","Tuile Cookie","Raspberry Lemonade","","","","",""
"176","176","Tuile Cookie","","","","","","",""
"177","177","Truffle Cake","Gongolais Cookie","","","","","",""
"178","178","Opera Cake","Cherry Tart","Apricot Danish","","","","",""
"179","179","Gongolais Cookie","Lemon Cookie","Apple Danish","Hot Coffee","","","",""
"180","180","Truffle Cake","Berry Tart","Gongolais Cookie","","","","",""
"181","181","Cherry Tart","Apricot Danish","","","","","",""
"182","182","Tuile Cookie","Orange Juice","Single Espresso","","","","",""
"183","183","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","","","",""
"184","184","Apple Tart","Lemon Cookie","Cheese Croissant","Apple Danish","Orange Juice","Hot Coffee","",""
"185","185","Chocolate Cake","Casino Cake","Chocolate Coffee","","","","",""
"186","186","Chocolate Cake","Lemon Cake","Casino Cake","Chocolate Coffee","","","",""
"187","187","Ganache Cookie","Walnut Cookie","Almond Croissant","Almond Bear Claw","Single Espresso","","",""
